Model,F1-Score,Recall
Random Forest,0.6318082788671024,0.7754010695187166
CatBoost,0.6158940397350994,0.7459893048128342
XGBoost,0.6074240719910011,0.7219251336898396
AdaBoost,0.5806451612903226,0.5294117647058824
KNeighbors,0.5472496473906912,0.5187165775401069
